RUN	performance.BasicScript	basicscript	1614651984140	 	3.3.1
USER	Not Friendly and Open Scenario	146	START	1614652001222	1614652001222
REQUEST	146		request_1	1614652001223	1614652001237	OK	 
USER	Not Friendly and Open Scenario	147	START	1614652001422	1614652001422
REQUEST	147		request_1	1614652001424	1614652001439	OK	 
USER	Not Friendly and Open Scenario	148	START	1614652001621	1614652001621
REQUEST	148		request_1	1614652001623	1614652001634	OK	 
REQUEST	26		request_2	1614652001803	1614652001821	OK	 
USER	Not Friendly and Open Scenario	149	START	1614652001825	1614652001825
REQUEST	48		request_2	1614652001803	1614652001840	OK	 
REQUEST	68		request_2	1614652001803	1614652001853	OK	 
USER	Friendly and CLosed Scenario	48	END	1614651986283	1614652001865
USER	Friendly and CLosed Scenario	68	END	1614651986287	1614652001867
REQUEST	77		request_2	1614652001815	1614652001869	OK	 
REQUEST	38		request_2	1614652001815	1614652001871	OK	 
USER	Friendly and CLosed Scenario	38	END	1614651986281	1614652001873
USER	Friendly and CLosed Scenario	77	END	1614651986291	1614652001878
USER	Friendly and CLosed Scenario	26	END	1614651986278	1614652001891
REQUEST	149		request_1	1614652001827	1614652001933	OK	 
REQUEST	49		request_2	1614652001826	1614652001933	OK	 
USER	Friendly and CLosed Scenario	49	END	1614651986284	1614652001937
REQUEST	47		request_2	1614652001842	1614652001942	OK	 
USER	Friendly and CLosed Scenario	47	END	1614651986282	1614652001944
REQUEST	43		request_2	1614652001843	1614652001976	OK	 
USER	Friendly and CLosed Scenario	43	END	1614651986282	1614652001977
REQUEST	13		request_2	1614652001874	1614652002002	OK	 
USER	Friendly and CLosed Scenario	13	END	1614651986272	1614652002003
REQUEST	107		request_2	1614652001897	1614652002008	OK	 
USER	Not Friendly and Open Scenario	107	END	1614651986299	1614652002008
REQUEST	33		request_2	1614652001874	1614652002011	OK	 
REQUEST	96		request_2	1614652001903	1614652002012	OK	 
USER	Friendly and CLosed Scenario	33	END	1614651986280	1614652002012
USER	Friendly and CLosed Scenario	96	END	1614651986296	1614652002012
REQUEST	83		request_2	1614652001897	1614652002013	OK	 
REQUEST	80		request_2	1614652001902	1614652002014	OK	 
USER	Friendly and CLosed Scenario	83	END	1614651986292	1614652002014
USER	Friendly and CLosed Scenario	80	END	1614651986292	1614652002014
REQUEST	55		request_2	1614652001896	1614652002014	OK	 
USER	Friendly and CLosed Scenario	55	END	1614651986285	1614652002015
REQUEST	56		request_2	1614652001904	1614652002016	OK	 
REQUEST	103		request_2	1614652001897	1614652002016	OK	 
USER	Not Friendly and Open Scenario	103	END	1614651986297	1614652002017
USER	Friendly and CLosed Scenario	56	END	1614651986285	1614652002018
REQUEST	39		request_2	1614652001893	1614652002018	OK	 
REQUEST	73		request_2	1614652001875	1614652002019	OK	 
USER	Friendly and CLosed Scenario	39	END	1614651986281	1614652002019
USER	Friendly and CLosed Scenario	73	END	1614651986289	1614652002020
REQUEST	27		request_2	1614652001903	1614652002020	OK	 
USER	Friendly and CLosed Scenario	27	END	1614651986279	1614652002021
USER	Not Friendly and Open Scenario	150	START	1614652002021	1614652002021
REQUEST	52		request_2	1614652001884	1614652002031	OK	 
USER	Friendly and CLosed Scenario	52	END	1614651986284	1614652002031
REQUEST	95		request_2	1614652001894	1614652002032	OK	 
USER	Friendly and CLosed Scenario	95	END	1614651986295	1614652002033
REQUEST	44		request_2	1614652001906	1614652002033	OK	 
USER	Friendly and CLosed Scenario	44	END	1614651986282	1614652002034
REQUEST	61		request_2	1614652001875	1614652002036	OK	 
REQUEST	115		request_2	1614652001898	1614652002037	OK	 
USER	Not Friendly and Open Scenario	115	END	1614651990222	1614652002037
USER	Friendly and CLosed Scenario	61	END	1614651986286	1614652002037
REQUEST	34		request_2	1614652001877	1614652002037	OK	 
REQUEST	4		request_2	1614652001885	1614652002038	OK	 
USER	Friendly and CLosed Scenario	4	END	1614651986231	1614652002038
REQUEST	59		request_2	1614652001920	1614652002040	OK	 
REQUEST	21		request_2	1614652001874	1614652002040	OK	 
USER	Friendly and CLosed Scenario	34	END	1614651986280	1614652002040
USER	Friendly and CLosed Scenario	59	END	1614651986286	1614652002040
REQUEST	25		request_2	1614652001875	1614652002035	OK	 
REQUEST	40		request_2	1614652001903	1614652002036	OK	 
REQUEST	12		request_2	1614652001884	1614652002041	OK	 
USER	Friendly and CLosed Scenario	40	END	1614651986281	1614652002042
USER	Friendly and CLosed Scenario	12	END	1614651986251	1614652002042
USER	Friendly and CLosed Scenario	21	END	1614651986277	1614652002043
REQUEST	18		request_2	1614652001877	1614652002043	OK	 
REQUEST	69		request_2	1614652001886	1614652002044	OK	 
USER	Friendly and CLosed Scenario	18	END	1614651986276	1614652002043
USER	Friendly and CLosed Scenario	25	END	1614651986278	1614652002043
REQUEST	106		request_2	1614652001885	1614652002044	OK	 
USER	Not Friendly and Open Scenario	106	END	1614651986299	1614652002045
USER	Friendly and CLosed Scenario	69	END	1614651986288	1614652002045
REQUEST	57		request_2	1614652001876	1614652002046	OK	 
REQUEST	85		request_2	1614652001884	1614652002046	OK	 
REQUEST	108		request_2	1614652001887	1614652002048	OK	 
REQUEST	87		request_2	1614652001895	1614652002048	OK	 
USER	Friendly and CLosed Scenario	57	END	1614651986285	1614652002049
USER	Friendly and CLosed Scenario	87	END	1614651986294	1614652002049
USER	Not Friendly and Open Scenario	108	END	1614651986300	1614652002050
REQUEST	98		request_2	1614652001889	1614652002045	OK	 
REQUEST	24		request_2	1614652001902	1614652002048	OK	 
USER	Friendly and CLosed Scenario	98	END	1614651986296	1614652002051
USER	Friendly and CLosed Scenario	24	END	1614651986278	1614652002052
USER	Friendly and CLosed Scenario	85	END	1614651986293	1614652002054
REQUEST	109		request_2	1614652001887	1614652002055	OK	 
REQUEST	90		request_2	1614652001893	1614652002055	OK	 
USER	Not Friendly and Open Scenario	109	END	1614651986300	1614652002056
