RUN	performance.BasicScript	basicscript	1614647489093	 	3.3.1
REQUEST	3		request_1	1614647491114	1614647492693	OK	 
REQUEST	11		request_1	1614647491110	1614647492694	OK	 
REQUEST	45		request_1	1614647491129	1614647492695	OK	 
REQUEST	53		request_1	1614647491130	1614647492696	OK	 
REQUEST	29		request_1	1614647491125	1614647492696	OK	 
REQUEST	25		request_1	1614647491122	1614647492698	OK	 
REQUEST	28		request_1	1614647491124	1614647492699	OK	 
REQUEST	14		request_1	1614647491114	1614647492701	OK	 
REQUEST	48		request_1	1614647491129	1614647492700	OK	 
REQUEST	73		request_1	1614647491137	1614647492703	OK	 
REQUEST	5		request_1	1614647491110	1614647492705	OK	 
REQUEST	105		request_1	1614647491152	1614647492705	OK	 
REQUEST	86		request_1	1614647491147	1614647492707	OK	 
REQUEST	33		request_1	1614647491126	1614647492709	OK	 
REQUEST	108		request_1	1614647491154	1614647492711	OK	 
REQUEST	90		request_1	1614647491148	1614647492713	OK	 
REQUEST	107		request_1	1614647491154	1614647492713	OK	 
REQUEST	88		request_1	1614647491147	1614647492712	OK	 
REQUEST	65		request_1	1614647491134	1614647492713	OK	 
REQUEST	32		request_1	1614647491126	1614647492717	OK	 
REQUEST	54		request_1	1614647491130	1614647492717	OK	 
REQUEST	1		request_1	1614647491110	1614647492718	OK	 
REQUEST	42		request_1	1614647491128	1614647492723	OK	 
USER	Not Friendly and Open Scenario	113	START	1614647493074	1614647493074
REQUEST	113		request_1	1614647493076	1614647493112	OK	 
USER	Not Friendly and Open Scenario	114	START	1614647494064	1614647494064
REQUEST	114		request_1	1614647494065	1614647494086	OK	 
USER	Not Friendly and Open Scenario	115	START	1614647495064	1614647495064
REQUEST	115		request_1	1614647495066	1614647495089	OK	 
USER	Not Friendly and Open Scenario	116	START	1614647496064	1614647496064
REQUEST	116		request_1	1614647496066	1614647496089	OK	 
USER	Not Friendly and Open Scenario	117	START	1614647497064	1614647497064
REQUEST	117		request_1	1614647497067	1614647497130	OK	 
USER	Not Friendly and Open Scenario	118	START	1614647498064	1614647498064
REQUEST	118		request_1	1614647498066	1614647498085	OK	 
USER	Not Friendly and Open Scenario	119	START	1614647499065	1614647499065
REQUEST	119		request_1	1614647499066	1614647499085	OK	 
USER	Not Friendly and Open Scenario	120	START	1614647500064	1614647500064
REQUEST	120		request_1	1614647500066	1614647500085	OK	 
USER	Not Friendly and Open Scenario	121	START	1614647501064	1614647501064
REQUEST	121		request_1	1614647501066	1614647501088	OK	 
USER	Not Friendly and Open Scenario	122	START	1614647501264	1614647501264
REQUEST	122		request_1	1614647501265	1614647501282	OK	 
REQUEST	8		request_2	1614647501416	1614647501436	OK	 
REQUEST	111		request_2	1614647501425	1614647501446	OK	 
USER	Not Friendly and Open Scenario	111	END	1614647491156	1614647501462
USER	Not Friendly and Open Scenario	123	START	1614647501465	1614647501465
USER	Friendly and CLosed Scenario	8	END	1614647491076	1614647501468
REQUEST	7		request_2	1614647501456	1614647501496	OK	 
USER	Friendly and CLosed Scenario	7	END	1614647491076	1614647501502
REQUEST	47		request_2	1614647501456	1614647501522	OK	 
USER	Friendly and CLosed Scenario	47	END	1614647491129	1614647501524
REQUEST	123		request_1	1614647501466	1614647501526	OK	 
REQUEST	23		request_2	1614647501456	1614647501536	OK	 
USER	Friendly and CLosed Scenario	23	END	1614647491120	1614647501538
REQUEST	79		request_2	1614647501466	1614647501539	OK	 
USER	Friendly and CLosed Scenario	79	END	1614647491142	1614647501540
USER	Not Friendly and Open Scenario	124	START	1614647501665	1614647501665
REQUEST	124		request_1	1614647501667	1614647501684	OK	 
USER	Not Friendly and Open Scenario	125	START	1614647501865	1614647501865
REQUEST	125		request_1	1614647501866	1614647501888	OK	 
USER	Not Friendly and Open Scenario	126	START	1614647502064	1614647502064
REQUEST	126		request_1	1614647502066	1614647502081	OK	 
USER	Not Friendly and Open Scenario	127	START	1614647502264	1614647502264
REQUEST	127		request_1	1614647502266	1614647502283	OK	 
REQUEST	87		request_2	1614647502355	1614647502371	OK	 
USER	Friendly and CLosed Scenario	87	END	1614647491147	1614647502373
REQUEST	55		request_2	1614647502376	1614647502391	OK	 
USER	Friendly and CLosed Scenario	55	END	1614647491130	1614647502393
USER	Not Friendly and Open Scenario	128	START	1614647502464	1614647502464
REQUEST	128		request_1	1614647502466	1614647502484	OK	 
REQUEST	100		request_2	1614647502556	1614647502652	OK	 
USER	Friendly and CLosed Scenario	100	END	1614647491150	1614647502668
REQUEST	102		request_2	1614647502556	1614647502667	OK	 
USER	Not Friendly and Open Scenario	102	END	1614647491151	1614647502671
USER	Not Friendly and Open Scenario	129	START	1614647502665	1614647502665
REQUEST	52		request_2	1614647502556	1614647502687	OK	 
USER	Friendly and CLosed Scenario	52	END	1614647491130	1614647502689
REQUEST	96		request_2	1614647502556	1614647502711	OK	 
USER	Friendly and CLosed Scenario	96	END	1614647491149	1614647502712
REQUEST	67		request_2	1614647502573	1614647502735	OK	 
USER	Friendly and CLosed Scenario	67	END	1614647491135	1614647502736
REQUEST	106		request_2	1614647502574	1614647502747	OK	 
USER	Not Friendly and Open Scenario	106	END	1614647491153	1614647502747
REQUEST	58		request_2	1614647502573	1614647502748	OK	 
USER	Friendly and CLosed Scenario	58	END	1614647491131	1614647502749
REQUEST	30		request_2	1614647502575	1614647502765	OK	 
USER	Friendly and CLosed Scenario	30	END	1614647491124	1614647502766
REQUEST	37		request_2	1614647502557	1614647502770	OK	 
USER	Friendly and CLosed Scenario	37	END	1614647491127	1614647502772
REQUEST	21		request_2	1614647502573	1614647502782	OK	 
USER	Friendly and CLosed Scenario	21	END	1614647491118	1614647502783
REQUEST	43		request_2	1614647502590	1614647502803	OK	 
USER	Friendly and CLosed Scenario	43	END	1614647491128	1614647502804
REQUEST	62		request_2	1614647502574	1614647502810	OK	 
USER	Friendly and CLosed Scenario	62	END	1614647491132	1614647502811
REQUEST	68		request_2	1614647502601	1614647502813	OK	 
REQUEST	93		request_2	1614647502602	1614647502813	OK	 
REQUEST	27		request_2	1614647502574	1614647502813	OK	 
USER	Friendly and CLosed Scenario	93	END	1614647491148	1614647502813
USER	Friendly and CLosed Scenario	68	END	1614647491135	1614647502813
USER	Friendly and CLosed Scenario	27	END	1614647491123	1614647502814
REQUEST	38		request_2	1614647502582	1614647502820	OK	 
USER	Friendly and CLosed Scenario	38	END	1614647491127	1614647502821
REQUEST	77		request_2	1614647502575	1614647502822	OK	 
USER	Friendly and CLosed Scenario	77	END	1614647491140	1614647502822
REQUEST	81		request_2	1614647502601	1614647502818	OK	 
USER	Friendly and CLosed Scenario	81	END	1614647491144	1614647502828
REQUEST	36		request_2	1614647502590	1614647502831	OK	 
REQUEST	60		request_2	1614647502646	1614647502832	OK	 
USER	Friendly and CLosed Scenario	36	END	1614647491126	1614647502832
USER	Friendly and CLosed Scenario	60	END	1614647491131	1614647502833
REQUEST	75		request_2	1614647502591	1614647502833	OK	 
USER	Friendly and CLosed Scenario	75	END	1614647491139	1614647502834
REQUEST	63		request_2	1614647502618	1614647502836	OK	 
USER	Friendly and CLosed Scenario	63	END	1614647491132	1614647502836
REQUEST	34		request_2	1614647502677	1614647502837	OK	 
REQUEST	66		request_2	1614647502655	1614647502838	OK	 
USER	Friendly and CLosed Scenario	34	END	1614647491126	1614647502838
USER	Friendly and CLosed Scenario	66	END	1614647491134	1614647502839
REQUEST	22		request_2	1614647502600	1614647502846	OK	 
REQUEST	13		request_2	1614647502617	1614647502847	OK	 
USER	Friendly and CLosed Scenario	22	END	1614647491119	1614647502847
USER	Friendly and CLosed Scenario	13	END	1614647491113	1614647502849
REQUEST	76		request_2	1614647502583	1614647502850	OK	 
REQUEST	85		request_2	1614647502600	1614647502851	OK	 
REQUEST	82		request_2	1614647502645	1614647502854	OK	 
REQUEST	56		request_2	1614647502605	1614647502855	OK	 
REQUEST	31		request_2	1614647502628	1614647502856	OK	 
USER	Friendly and CLosed Scenario	85	END	1614647491146	1614647502852
USER	Friendly and CLosed Scenario	76	END	1614647491140	1614647502852
USER	Friendly and CLosed Scenario	82	END	1614647491145	1614647502855
USER	Friendly and CLosed Scenario	56	END	1614647491130	1614647502856
USER	Friendly and CLosed Scenario	31	END	1614647491125	1614647502856
REQUEST	129		request_1	1614647502679	1614647502857	OK	 
REQUEST	74		request_2	1614647502605	1614647502857	OK	 
REQUEST	57		request_2	1614647502602	1614647502858	OK	 
USER	Friendly and CLosed Scenario	57	END	1614647491130	1614647502859
USER	Friendly and CLosed Scenario	74	END	1614647491137	1614647502859
REQUEST	94		request_2	1614647502590	1614647502863	OK	 
REQUEST	109		request_2	1614647502581	1614647502863	OK	 
USER	Not Friendly and Open Scenario	109	END	1614647491154	1614647502864
USER	Friendly and CLosed Scenario	94	END	1614647491148	1614647502864
USER	Not Friendly and Open Scenario	130	START	1614647502864	1614647502864
REQUEST	40		request_2	1614647502695	1614647502868	OK	 
REQUEST	98		request_2	1614647502677	1614647502869	OK	 
USER	Friendly and CLosed Scenario	40	END	1614647491127	1614647502869
USER	Friendly and CLosed Scenario	98	END	1614647491150	1614647502869
REQUEST	72		request_2	1614647502620	1614647502872	OK	 
REQUEST	70		request_2	1614647502605	1614647502873	OK	 
USER	Friendly and CLosed Scenario	72	END	1614647491137	1614647502873
USER	Friendly and CLosed Scenario	70	END	1614647491136	1614647502874
REQUEST	2		request_2	1614647502656	1614647502874	OK	 
USER	Friendly and CLosed Scenario	2	END	1614647491075	1614647502876
REQUEST	49		request_2	1614647502605	1614647502878	OK	 
USER	Friendly and CLosed Scenario	49	END	1614647491129	1614647502880
REQUEST	110		request_2	1614647502705	1614647502888	OK	 
REQUEST	71		request_2	1614647502617	1614647502888	OK	 
USER	Friendly and CLosed Scenario	71	END	1614647491137	1614647502888
USER	Not Friendly and Open Scenario	110	END	1614647491155	1614647502888
REQUEST	108		request_2	1614647502725	1614647502890	OK	 
REQUEST	33		request_2	1614647502725	1614647502890	OK	 
REQUEST	61		request_2	1614647502695	1614647502889	OK	 
REQUEST	6		request_2	1614647502685	1614647502892	OK	 
USER	Friendly and CLosed Scenario	33	END	1614647491126	1614647502893
REQUEST	32		request_2	1614647502734	1614647502895	OK	 
USER	Friendly and CLosed Scenario	6	END	1614647491076	1614647502893
USER	Friendly and CLosed Scenario	61	END	1614647491131	1614647502893
USER	Friendly and CLosed Scenario	32	END	1614647491125	1614647502895
REQUEST	10		request_2	1614647502657	1614647502896	OK	 
REQUEST	25		request_2	1614647502717	1614647502897	OK	 
USER	Friendly and CLosed Scenario	10	END	1614647491076	1614647502898
USER	Friendly and CLosed Scenario	25	END	1614647491121	1614647502898
USER	Not Friendly and Open Scenario	108	END	1614647491154	1614647502899
REQUEST	28		request_2	1614647502717	1614647502900	OK	 
REQUEST	54		request_2	1614647502735	1614647502898	OK	 
USER	Friendly and CLosed Scenario	54	END	1614647491130	1614647502902
REQUEST	89		request_2	1614647502617	1614647502903	OK	 
USER	Friendly and CLosed Scenario	89	END	1614647491147	1614647502904
USER	Friendly and CLosed Scenario	28	END	1614647491124	1614647502905
REQUEST	15		request_2	1614647502618	1614647502906	OK	 
REQUEST	16		request_2	1614647502706	1614647502907	OK	 
USER	Friendly and CLosed Scenario	15	END	1614647491114	1614647502908
USER	Friendly and CLosed Scenario	16	END	1614647491115	1614647502909
REQUEST	48		request_2	1614647502717	1614647502911	OK	 
REQUEST	35		request_2	1614647502695	1614647502912	OK	 
REQUEST	20		request_2	1614647502676	1614647502913	OK	 
USER	Friendly and CLosed Scenario	35	END	1614647491126	1614647502913
USER	Friendly and CLosed Scenario	20	END	1614647491117	1614647502915
USER	Friendly and CLosed Scenario	48	END	1614647491129	1614647502915
REQUEST	92		request_2	1614647502695	1614647502916	OK	 
REQUEST	103		request_2	1614647502602	1614647502915	OK	 
REQUEST	104		request_2	1614647502583	1614647502916	OK	 
USER	Friendly and CLosed Scenario	92	END	1614647491148	1614647502918
REQUEST	51		request_2	1614647502626	1614647502919	OK	 
USER	Not Friendly and Open Scenario	103	END	1614647491151	1614647502920
USER	Not Friendly and Open Scenario	104	END	1614647491151	1614647502920
REQUEST	18		request_2	1614647502627	1614647502921	OK	 
REQUEST	64		request_2	1614647502705	1614647502921	OK	 
USER	Friendly and CLosed Scenario	18	END	1614647491115	1614647502921
USER	Friendly and CLosed Scenario	51	END	1614647491129	1614647502922
REQUEST	83		request_2	1614647502695	1614647502922	OK	 
USER	Friendly and CLosed Scenario	83	END	1614647491145	1614647502923
USER	Friendly and CLosed Scenario	64	END	1614647491133	1614647502923
REQUEST	112		request_2	1614647502591	1614647502923	OK	 
USER	Not Friendly and Open Scenario	112	END	1614647492075	1614647502925
REQUEST	86		request_2	1614647502725	1614647502926	OK	 
REQUEST	41		request_2	1614647502695	1614647502928	OK	 
USER	Friendly and CLosed Scenario	86	END	1614647491146	1614647502931
REQUEST	95		request_2	1614647502664	1614647502935	OK	 
USER	Friendly and CLosed Scenario	95	END	1614647491149	1614647502935
REQUEST	45		request_2	1614647502716	1614647502935	OK	 
USER	Friendly and CLosed Scenario	45	END	1614647491128	1614647502936
REQUEST	12		request_2	1614647502686	1614647502935	OK	 
REQUEST	24		request_2	1614647502656	1614647502936	OK	 
USER	Friendly and CLosed Scenario	12	END	1614647491091	1614647502937
REQUEST	91		request_2	1614647502695	1614647502938	OK	 
REQUEST	44		request_2	1614647502686	1614647502938	OK	 
USER	Friendly and CLosed Scenario	24	END	1614647491120	1614647502939
USER	Friendly and CLosed Scenario	91	END	1614647491148	1614647502939
USER	Friendly and CLosed Scenario	41	END	1614647491128	1614647502939
REQUEST	17		request_2	1614647502591	1614647502939	OK	 
REQUEST	39		request_2	1614647502618	1614647502940	OK	 
REQUEST	29		request_2	1614647502717	1614647502936	OK	 
USER	Friendly and CLosed Scenario	29	END	1614647491124	1614647502942
USER	Friendly and CLosed Scenario	17	END	1614647491115	1614647502943
USER	Friendly and CLosed Scenario	39	END	1614647491127	1614647502943
REQUEST	46		request_2	1614647502706	1614647502932	OK	 
REQUEST	9		request_2	1614647502695	1614647502945	OK	 
USER	Friendly and CLosed Scenario	46	END	1614647491128	1614647502946
REQUEST	69		request_2	1614647502676	1614647502944	OK	 
USER	Friendly and CLosed Scenario	9	END	1614647491076	1614647502947
USER	Friendly and CLosed Scenario	69	END	1614647491136	1614647502947
REQUEST	78		request_2	1614647502717	1614647502948	OK	 
REQUEST	101		request_2	1614647502696	1614647502948	OK	 
USER	Not Friendly and Open Scenario	101	END	1614647491151	1614647502948
REQUEST	50		request_2	1614647502705	1614647502950	OK	 
USER	Friendly and CLosed Scenario	50	END	1614647491129	1614647502950
REQUEST	26		request_2	1614647502684	1614647502955	OK	 
REQUEST	53		request_2	1614647502717	1614647502955	OK	 
USER	Friendly and CLosed Scenario	53	END	1614647491130	1614647502957
REQUEST	80		request_2	1614647502685	1614647502957	OK	 
REQUEST	107		request_2	1614647502726	1614647502960	OK	 
USER	Friendly and CLosed Scenario	26	END	1614647491122	1614647502961
REQUEST	11		request_2	1614647502716	1614647502962	OK	 
USER	Not Friendly and Open Scenario	107	END	1614647491153	1614647502962
